,YEAR_WEEK,NIS5,AGEGROUP,DOSE,CUMUL
742,21W01,24033,85+,A,33
743,21W01,24038,35-44,A,<10
744,21W01,24038,45-54,A,<10
745,21W01,24038,55-64,A,12
746,21W01,24038,65-74,A,<10
747,21W01,24038,75-84,A,10
748,21W01,24038,85+,A,<10
749,21W01,24041,18-34,A,<10
750,21W01,24041,35-44,A,<10
751,21W01,24043,45-54,A,<10
752,21W01,24043,55-64,A,<10
753,21W01,24043,75-84,A,<10
754,21W01,24043,85+,A,<10
755,21W01,24045,18-34,A,<10
756,21W01,24045,35-44,A,<10
757,21W01,24045,45-54,A,<10
758,21W01,24045,55-64,A,<10
759,21W01,24045,85+,A,<10
760,21W01,24048,35-44,A,<10
761,21W01,24048,45-54,A,<10
762,21W01,24048,55-64,A,<10
763,21W01,24048,65-74,A,<10
764,21W01,24048,75-84,A,<10
765,21W01,24054,45-54,A,<10
766,21W01,24054,55-64,A,<10
767,21W01,24054,85+,A,<10
768,21W01,24055,18-34,A,<10
769,21W01,24055,35-44,A,<10
770,21W01,24055,45-54,A,<10
771,21W01,24055,55-64,A,<10
772,21W01,24055,65-74,A,<10
773,21W01,24055,75-84,A,58
774,21W01,24055,85+,A,176
775,21W01,24059,18-34,A,<10
776,21W01,24059,45-54,A,<10
777,21W01,24059,55-64,A,<10
778,21W01,24059,65-74,A,<10
