,NIS5,WEEK,name,CASES,POP,CASES_PER_1000HABITANT
12360,37018,2,Wingene,16,,
25660,73098,2,Wellen,3,,
18577,57003,2,Antoing,14,,
7233,24054,2,Kortenaken,3,,
213,11007,2,Borsbeek,4,,
7283,24055,2,Kortenberg,19,,
18378,56051,2,Momignies,3,,
7336,24059,2,Landen,20,,
28529,91141,2,Yvoir,12,,
12465,38002,2,Alveringem,3,,
12670,38025,2,Furnes,21,,
18427,56078,2,Thuin,12,,
7389,24062,2,Louvain,72,,
7127,24045,2,Huldenberg,4,,
7075,24043,2,Holsbeek,4,,
6918,24033,2,Haacht,6,,
18832,57072,2,Rumes,7,,
25554,73066,2,Riemst,22,,
12515,38008,2,La Panne,4,,
18780,57064,2,P̩ruwelz,12,,
1849,12021,2,Lierre,98,,
28627,91143,2,Vresse-sur-Semois,2,,
18627,57018,2,Celles (Tournai),5,,
18730,57062,2,Pecq,8,,
12413,37020,2,Ardooie,4,,
18678,57027,2,Estaimpuis,5,,
12565,38014,2,Koksijde,5,,
27226,84050,2,Paliseul,1,,
7024,24041,2,Hoegaarden,3,,
25607,73083,2,Tongres,22,,
900,11035,2,Ranst,26,,
6971,24038,2,Herent,24,,
18280,56044,2,Lobbes,3,,
25712,73107,2,Maasmechelen,57,,
7442,24066,2,Lubbeek,5,,
7706,24109,2,Tremelo,2,,
17923,55085,2,Seneffe,5,,
25815,81001,2,Arlon,37,,
7757,24130,2,L̩au,11,,
17870,55050,2,Ecaussinnes,4,,
7808,24133,2,Linter,4,,
17817,55040,2,Soignies,45,,
27275,84059,2,Saint-Hubert,3,,
319,11009,2,Brecht,26,,
17764,55035,2,Le Roeulx,5,,
12826,41018,2,Grammont,61,,
7858,24134,2,Montaigu-Zichem,13,,
16509,52012,2,Ch̢telet,39,,
12205,37012,2,Ruiselede,3,,
1374,11054,2,Zandhoven,5,,
7909,24135,2,Tielt-Winge,4,,
28428,91114,2,Rochefort,4,,
12773,41011,2,Denderleeuw,9,,
17976,55086,2,Manage,18,,
7653,24107,2,Tirlemont,15,,
18233,56029,2,Froidchapelle,3,,
12309,37017,2,Wielsbeke,39,,
107,11004,2,Boechout,6,,
7495,24086,2,Oud-Heverlee,1,,
18183,56022,2,Erquelinnes,5,,
7548,24094,2,Rotselaar,14,,
18133,56016,2,Chimay,5,,
12720,41002,2,Alost (Alost),101,,
12257,37015,2,Tielt (Tielt),37,,
18082,56005,2,Beaumont,5,,
25765,73109,2,Fourons,5,,
7600,24104,2,Tervuren,10,,
18029,56001,2,Anderlues,6,,
953,11037,2,Rumst,5,,
1796,12014,2,Heist-op-den-Berg,41,,
28480,91120,2,Somme-Leuze,1,,
27175,84043,2,Neufch̢teau (Neufch̢teau),3,,
7958,24137,2,Glabbeek,1,,
13144,41081,2,Zottegem,30,,
13878,43007,2,Kaprijke,2,,
16456,52011,2,Charleroi,233,,
1216,11050,2,Wijnegem,12,,
10492,33040,2,Langemark-Poelkapelle,4,,
14764,44081,2,Zulte,20,,
